review_id,text,sentiment,rating,product_id,product_category,verified_purchase,helpful_votes,review_date
REV000039,"Excellent item, awesome value for money.",positive,4,PROD032,Toys & Games,False,10,2025-07-27
REV000257,Outstanding! The tool is terrific.,positive,5,PROD099,Sports & Outdoors,False,2,2025-05-11
REV000610,Mediocre. The thing is just adequate.,neutral,3,PROD088,Books,True,46,2025-05-02
REV000362,"Love it! remarkable purchase, will buy again.",positive,4,PROD032,Beauty & Personal Care,False,9,2025-10-06
REV000283,Perfect! Exactly what I needed. impressive!,positive,5,PROD055,Tools & Home Improvement,False,14,2025-04-20
REV000058,Great purchase! Very great and reliable.,positive,4,PROD085,Home & Kitchen,False,32,2025-11-19
REV000925,Worst thing ever. useless experience.,negative,2,PROD024,Health & Household,True,11,2025-06-14
REV000796,Acceptable quality. moderate overall.,neutral,3,PROD090,Pet Supplies,False,39,2025-03-17
REV000080,"Excellent equipment, brilliant value for money.",positive,4,PROD085,Toys & Games,True,32,2025-11-11
REV000522,Best product I've ever bought. perfect!,positive,5,PROD089,Clothing,True,48,2025-09-18
REV000714,Decent device. Could be better.,neutral,3,PROD014,Sports & Outdoors,True,1,2025-10-24
REV000547,Amazing accessory! Works perfectly.,positive,5,PROD019,Sports & Outdoors,True,14,2025-10-26
REV000883,"Disappointed. subpar quality, expected better.",negative,1,PROD017,Health & Household,False,26,2025-07-30
REV000208,remarkable quality! Exceeded my expectations.,positive,4,PROD005,Clothing,True,2,2025-03-27
REV000289,This product is brilliant! Highly recommend it.,positive,5,PROD095,Sports & Outdoors,False,35,2025-08-25
REV000442,Best product I've ever bought. exceptional!,positive,4,PROD020,Home & Kitchen,True,42,2025-06-09
REV000780,Acceptable quality. fair overall.,neutral,3,PROD032,Tools & Home Improvement,True,30,2025-06-29
REV000546,Fantastic! Would definitely recommend this equipment.,positive,4,PROD069,Tools & Home Improvement,True,19,2025-04-01
REV000963,Poor quality. subpar and disappointing.,negative,2,PROD031,Home & Kitchen,True,33,2025-11-20
REV000237,fantastic quality! Exceeded my expectations.,positive,5,PROD032,Sports & Outdoors,True,3,2025-05-12
REV000812,It works. passable but meets basic needs.,neutral,3,PROD027,Pet Supplies,False,3,2025-11-08
REV000316,Amazing item! Works perfectly.,positive,5,PROD044,Pet Supplies,False,49,2025-05-31
REV000814,Decent accessory. Could be better.,neutral,3,PROD030,Beauty & Personal Care,False,30,2025-04-28
REV000987,Worst device ever. flimsy experience.,negative,1,PROD061,Toys & Games,True,0,2025-04-23
REV000380,Great product! Very awesome and reliable.,positive,4,PROD047,Toys & Games,True,24,2025-10-02
REV000938,Horrible! The gadget is defective.,negative,2,PROD070,Toys & Games,True,48,2024-12-31
REV000783,Average thing. Nothing special.,neutral,3,PROD063,Home & Kitchen,False,20,2025-09-25
REV000808,Decent purchase. Could be better.,neutral,3,PROD079,Clothing,False,16,2024-12-22
REV000553,Amazing equipment! Works perfectly.,positive,4,PROD036,Toys & Games,True,43,2025-06-02
